Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
AGRICOLE ET FROID,STE AGRICOLE ET FROID,Abdelmajid Neifer,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes.,AVE 20 MARS - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 308 486,(216) - 71 398 029,saftunisie@yahoo.com,http://www.saftunisie.com,Non totalement exportatrice,,31/10/2000,525 000,80.0,Banque de l'habitat
AGRIFOOD,STE AGRIFOOD,Walid Cherif,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer - Transformation et conservation de tomates.","Autres produits à base de tomates - Plats préparés à base de poissons, crustacés et mollusques.",EL KIDOUAA - 8045 - EL HAOUARIA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,El haouaria,(216) - 71 300 600 / 25 980 238,(216) - 71 300 605,ridene.agrifood@hotmail.com,,Totalement exportatrice,France,20/04/2000,600 000,32.0,Attijari Bank
AGRIMED,AGRICULTURE MEDITERRANEENNE,Yassine Laamouri,Industries agro-alimentaires,Huiles et graisses brutes.,Mise en bouteille et conditionnement des huiles végétales.,Z.I. - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 271 757,(216) - 74 271 465,agrimed@agrimed.com.tn,http://www.agrimed.com.tn,Non totalement exportatrice,,27/11/2001,30 500 000,100.0,Banque de l'habitat
AGRO FOOD INDUSTRY,STE AGRO FOOD INDUSTRY,Marouan Kammoun,Industries agro-alimentaires,Condiments et assaisonnements.,Sauces - Mayonnaises.,"RTE DE TUNIS KM 20, Z.I. - 3034 - GHRAIBA","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,El hencha,(216) - 27 032 222 / 99 659 503,(216) - 74 842 300,info@agrofood.com.tn,,Non totalement exportatrice,,13/03/2017,600 000,72.0,Attijari Bank
AGRO PALM,STE AGRO PALM,Mahdi Khriji,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,Z.I. - 6020 - EL HAMMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,El hamma,(216) - 99 804 470,,,,Totalement exportatrice,,10/02/2023,750 000,30.0,Banque internationale arabe de Tunisie
AGRO ZITEX,STE AGRO ZITEX,Yassin Ben Youness,Industries agro-alimentaires,Huiles et graisses raffinées.,Huiles végétales raffinées - Autres huiles raffinées - Savons de ménage.,Z.I. BP 57 - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 643 600,(216) - 74 643 601,agro@groupe_zitex.com.tn,http://www.groupe_zitex.com.tn,Non totalement exportatrice,Soudan,07/02/1997,7 000 000,12.0,Banque nationale agricole
AGROABIDI,AGROABIDI,Abidi Ibrahim,Industries agro-alimentaires,Transformation et conservation de tomates.,Concentré de tomates - Fruits déshydratés.,7063 - UTIQUE NOUVELLE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Utique,(216) - 20 524 991 / 50 085 559,,,,Totalement exportatrice,,07/10/2019,75 000,120.0,Arab Tunisian Bank
AGRO-EXPORT,STE AGRO-EXPORT,Yassine Ben Youness,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles de grignon.,Z.I. - 3030 - AGAREB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 271 024 / 74 643 600,(216) - 74 643 601,agro@groupe_zitex.com.tn,http://www.groupe_zitex.com.tn,Totalement exportatrice,,16/02/2013,11 000 000,24.0,Amen Bank
AGROLIVA,STE ASDRUBAL,Sabeur Fourati,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE MENZEL CHAKER KM 20 - 3020 - MENZEL HEDI CHAKER,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Agareb,(216) - 74 227 222 / 20 216 000,(216) - 74 228 150,sabeur@fourati-group.com,,Totalement exportatrice,,21/06/2014,11 000 000,50.0,Amen Bank
AGROMED,AGROMED SA,Imen Charfi,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie - Boissons rafraîchissantes.","Laits fermentés, yaourts et desserts lactés frais - Laits de boisson frais, pasteurisés, stérilisés, aromatises, etc. - Fromages frais - Beurres, y compris concentrés ou allègés - Autres produits laitiers - Boissons aux fruits (jus).",3036 - EL AMRA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,El amra,(216) - 98 403 281 / 74 899 012,(216) - 74 899 101,imen.charfi@agromed.tn,,Non totalement exportatrice,,22/03/1999,32 622 400,60.0,Banque Zitouna
AGROMED,STE AGROMED,Anis Ben Fradj,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive - Mise en bouteille et conditionnement de l'huile d'olive.,Z.I. - 1160 - ENNADHOUR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Ennadhour,(216) - 72 680 065,(216) - 72 678 066,info@agro-med.com,http://www.agro-med.com,Totalement exportatrice,,29/12/2012,20 000,11.0,Arab Tunisian Bank
AICHA,BISCUITERIE BOUBAKRI,Sadok Boubakri,Industries agro-alimentaires,"Biscotterie, biscuiterie, pâtisserie de conservation.","Biscuits - Pâtisserie et gâteaux de conservation, non surgelés - Autres produits secs, sucrés ou salés.",RUE KHALED IBN EL WALID - 3200 - TATAOUINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Tataouine,Tataouine nord,(216) - 75 862 142,,,,Non totalement exportatrice,,31/12/2003,-,22.0,Attijari Bank
AKOUI NOUREDDINE,AKOUI NOUREDDINE,Noureddine Akoui,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,EL GRABAT - 4170 - ZARZIS,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Zarzis,(216) - 98 555 061,,,,Non totalement exportatrice,,01/01/2022,-,11.0,Société tunisienne de banque
AKYES SA,STE AKYES SA,Soufiene Meddeb,Industries agro-alimentaires,Sucrerie - Transformation  du café et du thé.,Thé conditionné y compris en sachets - Sucre blanc.,Z.I. RTE DU BAC - 2040 - RADES,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Rades,(216) - 71 449 489 / 98 402 009,,akyes@gnet.tn,,Non totalement exportatrice,,15/01/1990,1 100 000,45.0,Union internationale de banques
AL BADR SEA FOOD,STE AL BADR SEA FOOD,Yosr El Behi,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Conserves de poissons.,8055 - DAR ALLOUCHE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Hammam el ghezaz,(216) - 28 988 486,,albadr.sea.food@gmail.com,,Non totalement exportatrice,,26/01/2019,5 000 000,57.0,Banque de l'habitat
ALA FRIGORIFIQUE,STE ALA FRIGORIFIQUE,Fathi Latrach,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,M'SAHLA - 6150 - ROUHIA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Rouhia,(216) - 94 140 127,,,,Non totalement exportatrice,,28/10/2020,420 000,11.0,Banque de Tunisie
ALFET EL MACHIA,STE ALFET EL MACHIA,Omar Hachicha,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,OULED AICHA - 3010 - EL HANCHA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,El hencha,(216) - 71 382 333 / 29 933 929,(216) - 71 384 775,omar.hachicha@machia.com.tn,,Non totalement exportatrice,,30/12/2017,2 250 000,112.0,Société tunisienne de banque
ALHEDAYA DATTES,STE ALHEDAYA DATTES,Mohamed Mahmoud,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,4224 - BAZMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Kebili sud,(216) - 98 232 152,,noussaamiri211@gmail.com,,Non totalement exportatrice,,29/03/2021,350 000,25.0,Banque internationale arabe de Tunisie
ALHEDAYA DATTES,ALHEDAYA DATTES,Mahmoud Mohamed,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,BAZMA - 4224 - BAZMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Kebili sud,(216) - 98 232 152,,,,Totalement exportatrice,,29/03/2021,350 000,51.0,Banque Zitouna
ALICAP,STE ALICAP,Adel Zamit Chatti,Industries agro-alimentaires,Transformation et conservation de tomates - Conservation et semi-conservation d'autres légumes.,Concentré de tomates - Concentré d'harissa.,AVE HABIB BOURGUIBA - 8070 - KORBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Korba,(216) - 58 585 828,,zamitadel@yahoo.fr,http://www.sabra.com,Non totalement exportatrice,,28/07/2011,2 150 000,31.0,Banque de Tunisie
ALMES II,ALMES II,Mohamed Bechir El Khiari,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,Z.I. - 7030 - MATEUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Mateur,(216) - 41 116 960 / 98 575 423,(216) - 71 452 534 / 72 468 349,almes.mateur@poulina.com.tn,http://www.poulinagroupholding.com,Non totalement exportatrice,,02/04/1987,36 329 800,158.0,Union internationale de banques
ALMES IV,ALMES IV,Rafia Zarrouk,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,RTE DE TUNIS KM 13 - 3091 - SIDI SALAH,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet ezzit,(216) - 71 454 545 / 74 273 888,(216) - 71 452 534 / 74 273 889,,http://www.poulina.com.tn,Non totalement exportatrice,,01/03/1976,35 200 000,96.0,Banque Zitouna
ALTA OLEA,STE ALTA OLEA,Saber Abidi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,AVE HABIB BOURGUIBA - 6120 - EL KRIB,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,El krib,(216) - 78 891 666 / 20 063 623,,saber.abidi@hotmail.com,,Non totalement exportatrice,,01/12/2021,1 203 000,12.0,Union internationale de banques
ALYANABI,ALYANABI,Abderraouf Younes,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,RTE HAZOUA - 2240 - NEFTA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Nefta,(216) - 98 269 645,,,,Totalement exportatrice,,01/03/2016,11 000,20.0,Banque Zitouna
AMANDINE,STE AMANDINE,Sofiene H'kim,Industries agro-alimentaires,Pâtisserie.,Pâtisserie fraîche.,"RTE DE GREMDA, KM 3,5 - 3062 - SIDI ABBES","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 92 518 081,,contact@amandine.tn,http://www.amandine.tn,Totalement exportatrice,,01/02/2016,120 000,10.0,Attijari Bank
AMANI (RAOUED),STE AMANI,Riadh Bouhjar,Industries agro-alimentaires,"Pâtisserie - Biscotterie, biscuiterie, pâtisserie de conservation.","Pâtisserie et gâteaux de conservation, non surgelés - Pâtisserie fraîche - Autres pâtisseries.","Z.I. CHOUTRANA, LOT N°111 - 2036 - LA SOUKRA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,Raoued,(216) - 29 552 648 / 70 685 926,(216) - 70 687 027,steamani@gnet.tn,,Non totalement exportatrice,,13/05/2004,51 000,23.0,Attijari Bank
AMARI BADIE,STE AMARI BADIE,Amari Badie,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,EL GTITIR - 3180 - BOUHEJLA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Sidi amor bouhajla,(216) - 52 434 042,,,,Non totalement exportatrice,,04/12/2021,-,10.0,Banque internationale arabe de Tunisie
AMIR D'HUILE D'OLIVES,STE AMIR D'HUILE D'OLIVES,Kamel Gafsi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,AWAYED KM 74 - 3116 - CHRARDA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Echrarda,(216) - 97 373 694,,,,Non totalement exportatrice,,20/11/2017,70 000,10.0,Banque nationale agricole
AMIRA FISH,STE AMIRA FISH,Ayadi Boukhit,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,PORT DE PECHE SKHIRA - 3050 - SKHIRA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Skhira,,,,,Totalement exportatrice,,14/07/2021,240 000,10.0,Banque de Tunisie
AMMAR GRIOUI ( SOLIMAN),ETS AMMAR GRIOUI (SOLIMAN),Ammar Grioui,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes.,Z.I. LOT N°11 - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 52 877 524 / 72 391 668,(216) - 72 391 668 / 72 391 068,grioui.ammar@hotmail.fr,,Totalement exportatrice,,25/01/2012,150 000,10.0,Banque nationale agricole
AMRI FAHEM,AMRI FAHEM,Fahem Amri,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,RTE JENDOUBA BOUSALEM KM 14 - 9021 - SIDI SMAIL,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Beja sud,(216) - 96 137 094,,amri-amri@live.fr,,Non totalement exportatrice,,26/02/2019,-,15.0,Arab Tunisian Bank
AMT,STE AGRO MELANGE TECHNOLOGIE,Adnene Chenguel,Industries agro-alimentaires,Meunerie - Travail des grains (semoulerie ).,"Semoules - Farines de boulangerie et de pâtisserie, etc..","40, AVE HEDI NOUIRA - 4003 - SOUSSE SIDI ABDELHAMID","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sousse ville,(216) - 73 215 600,(216) - 73 210 552,amt2@rose-blanche.com,http://www.rose-blanche.com,Non totalement exportatrice,,13/09/2006,4 100 000,145.0,Banque de Tunisie
ANIS BEN FREDJ,ANIS BEN FREDJ,Anis Ben Fredj,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,BIR ECCHAOUCH - 1160 - ENNADHOUR,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Ennadhour,(216) - 72 678 065,(216) - 72 678 066,,,Non totalement exportatrice,,01/01/2007,-,10.0,Banque nationale agricole
ANTICA AGRICOL,STE ANTICA DE CONSERVE ALIMENTAIRE,Nouri Abdallah,Industries agro-alimentaires,Industries alimentaires n.c.a..,Séchage de produits agricoles.,Z.I. RTE DU KEF KM 10 EL AGBA GHEDIR EL GOLLA - 2011 - DENDEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,El hararia,(216) - 23 429 914 / 71 550 562,(216) - 71 550 897,,,Totalement exportatrice,,01/01/2003,29 000,55.0,Attijari Bank
ANTONELLA EXPORT,STE ANTONELLA EXPORT,Abderraouf Ben Salah,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,Z.I. LOT N° C4 - 7060 - UTIQUE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Utique,(216) - 20 635 664 / 72 494 020,(216) - 72 494 020,stebadia@gmail.com,,Totalement exportatrice,Italie,18/12/2017,500 000,27.0,Banque Zitouna
AOUATEF HADDAD,AOUATEF HADDAD,Aoutef Hahhad,Industries agro-alimentaires,Boulangerie.,Pains industriels.,CITE AIN MIZEB - 8130 - AIN DRAHAM,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Ain draham,(216) - 94 359 994,,,,Non totalement exportatrice,,25/04/1999,-,11.0,Union internationale de banques
ARBOLA TUN,ARBOLA TUN,Karim Ayed,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,GAMERYENE - 1130 - TEBOURBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Tebourba,(216) - 71 967 800,(216) - 71 967 802,sda@arbolaproduc.com,http://www.arbolaproduc.com,Non totalement exportatrice,,27/07/2009,300 000,15.0,Banque Zitouna
ARFAOUI DE CONSERVES ET PRODUITS AGRICOLES,STE ARFAOUI DE CONSERVES ET PRODUITS AGRICOLES,El Behi Arfaoui,Industries agro-alimentaires,Conservation et semi-conservation d'autres légumes.,Autres produits à base de légumes.,FERME ARFAOUI - 2082 - FOUCHANA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 98 287 458 / 23 931 010,(216) - 71 401 709,conservearfaoui105@gmail.com,,Totalement exportatrice,,25/01/2015,4 000,14.0,Amen Bank
AROMATES DU NORD,STE AROMATES DU NORD,Nejib Ouertani,Industries agro-alimentaires,Condiments et assaisonnements.,Autres condiments.,BENSOUR ELHOUAMDIA - 8110 - TABARKA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Tabarka,(216) - 96 823 992,,nejibouertani@gmail.com,,Totalement exportatrice,,19/08/2017,1 000,73.0,Amen Bank
ASSIL DU CAP BON,STE ASSIL DU CAP BON,Ibrahim Etter,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,"GP1, MANARET - 8050 - HAMMAMET","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Hammamet,(216) - 99 554 979,,contact.gharsellaoui@gmail.com,,Non totalement exportatrice,,25/01/2021,100 000,36.0,Amen Bank
ASTARTE FOOD,ASTARTE FOOD,Slim Ben Nasr,Industries agro-alimentaires,Glaces et sorbets.,Glaces et sorbets.,"N°76, RUE DE L'INDUSTRIE , Z.I. LA CHARGUIA I - 2035 - TUNIS CARTHAGE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Cite el khadra,(216) - 52 190 106 / 53 202 839,,yasser_rassaa@live.com,,Non totalement exportatrice,,05/01/2022,2 500 000,25.0,Union internationale de banques
ATTAOUFIK DES DATTES,STE ATTAOUFIK DES DATTES,Hamad Bouguenna,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,KM 25 RTE DE DOUZ - 4234 - EL GOLAA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Douz nord,(216) - 75 479 580 / 75 479 635,(216) - 74 479 595,attaoufik.dattes@yahoo.fr,http://www.attaoufik-dattes.com,Totalement exportatrice,,03/02/2009,100 000,95.0,Union internationale de banques
AYA,STE TNNE DE PRODUCTION ET DE DISTRIBUTION DE PATISSERIE,Mohsen Achach,Industries agro-alimentaires,Pâtisserie.,Autres pâtisseries.,"RUE DE SOUSSE, LOT N° 59 Z.I. M'GHIRA II - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 79 408 931,(216) - 79 408 941,sanagharbi30@gmail.com,http://www.patisserie-aya.com,Totalement exportatrice,France,14/07/2008,1 100 000,77.0,Société tunisienne de banque
AYADI D'INVESTISSEMENT AGRICOLE,STE AYADI D'INVESTISSEMENT AGRICOLE,Faouzi Ayadi,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,"RTE MENZEL CHAKER, KM 36 - 3020 - MENZEL HEDI CHAKER","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Menzel chaker,(216) - 98 412 106,,,,Non totalement exportatrice,,25/01/2018,1 120 000,10.0,Amen Bank
AZAIEZ DATTES,STE AZAIEZ DATTES,Hedi Azaiez,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,Z.I. RUE IBN EL JAZZAR - 2046 - SIDI DAOUD,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,La marsa,(216) - 71 854 152 / 58 239 504,(216) - 71 854 197,commercial@azaiez-dattes.com,,Totalement exportatrice,,01/11/2013,800 000,72.0,Amen Bank
AZZURA MEDITERRANEA,AZZURA MEDITERRANEA,Roberto Salimbeni,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,Z.I. PORT DE PECHE - 3050 - SKHIRA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Skhira,(216) - 71 752 774 / 74 295 176,(216) - 71 752 774 / 74 295 591,azzuramediterranea@topnet.tn,,Non totalement exportatrice,Italie,23/06/2008,52 000,25.0,Banque de l'habitat
BABOUCHA ET VITA,STE BABOUCHA ET VITA,Naoures Chaffar,Industries agro-alimentaires,Pommes de terre - Jus de fruits et de légumes.,"Pommes de terre congelées, surgelées - Jus de fruits et de légumes.",RUE AIN MIZAB GHDIR EL GOLLA - 2011 - DENDEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,El hararia,(216) - 97 143 078 / 71 708 295,(216) - 71 708 295,babouchavita@gmail.com,,Totalement exportatrice,,01/12/2012,20 000,20.0,Union internationale de banques
BARAKA +,STE BARAKA +,Haykel Ben Jazia,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,5160 - EL JEM,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,El jem,(216) - 70 608 020 / 98 153 002,,directeur_general@albarakaplus.com,http://www.albarakaplus.com,Non totalement exportatrice,,08/12/2021,747 000,98.0,Union internationale de banques
